gender,age,nationality,childhoodIn,religion,married,kids,education,party
female,65 to 69,german,germany,protestant,yes,yes,primary,CSU
female,65 to 69,german,germany,protestant,yes,no,middle,CSU
male,under 20,german,germany,romeCatholic,no,no,middle,CSU
male,65 to 69,german,germany,romeCatholic,yes,yes,primary,CSU
male,21 to 24,german,germany,protestant,no,no,highSchool,CSU
male,45 to 59,german,other,noReligion,yes,yes,highSchool,CSU
female,30 to 44,german,other,protestant,yes,no,middle,CSU
male,70 to und,german,germany,protestant,yes,yes,primary,CSU
female,65 to 69,german,germany,romeCatholic,no,yes,primary,CSU
female,65 to 69,german,germany,romeCatholic,yes,yes,middle,CSU
female,60 to 64,german,germany,protestant,yes,yes,middle,CSU
female,30 to 44,german,germany,romeCatholic,yes,yes,abitur,CSU
female,30 to 44,german,germany,romeCatholic,yes,yes,middle,CSU
male,60 to 64,german,germany,noReligion,yes,yes,primary,CSU
female,70 to und,german,germany,romeCatholic,no,no,middle,CSU
female,under 20,german,germany,romeCatholic,no,no,highSchool,CSU
male,60 to 64,german,germany,noReligion,yes,yes,middle,CSU
female,30 to 44,german,germany,romeCatholic,no,no,middle,CSU
male,25 to 29,german,germany,romeCatholic,no,no,middle,CSU
female,45 to 59,german,germany,noReligion,no,yes,middle,CSU
male,70 to und,german,germany,romeCatholic,yes,yes,highSchool,CSU
male,70 to und,german,germany,protestant,yes,yes,primary,CSU
male,25 to 29,german,germany,romeCatholic,no,no,university,CSU
female,45 to 59,german,russia,protestant,yes,yes,middle,CSU
male,25 to 29,german,germany,protestant,no,no,highSchool,CSU
male,65 to 69,german,germany,romeCatholic,no,yes,primary,CSU
male,45 to 59,german,germany,protestant,yes,no,primary,CSU
male,45 to 59,german,germany,romeCatholic,yes,yes,highSchool,CSU
male,30 to 44,german,germany,romeCatholic,yes,yes,university,CSU
female,21 to 24,german,germany,romeCatholic,no,yes,middle,CSU
female,25 to 29,other,germany,romeCatholic,no,no,highSchool,CSU
male,45 to 59,german,germany,romeCatholic,yes,yes,primary,CSU
female,30 to 44,german,germany,romeCatholic,no,no,abitur,CSU
female,70 to und,german,germany,protestant,no,yes,middle,CSU
female,70 to und,german,germany,protestant,no,yes,primary,CSU
male,70 to und,german,germany,noReligion,yes,yes,abitur,CSU
male,45 to 59,german,germany,romeCatholic,yes,yes,university,CSU
male,30 to 44,german,germany,romeCatholic,no,no,abitur,CSU
male,45 to 59,german,germany,noReligion,yes,no,middle,CSU
female,45 to 59,german,germany,romeCatholic,no,yes,abitur,CSU
female,65 to 69,german,germany,romeCatholic,yes,yes,primary,CSU
male,65 to 69,german,germany,romeCatholic,no,yes,highSchool,CSU
female,25 to 29,german,germany,romeCatholic,no,no,abitur,CSU
male,45 to 59,german,germany,romeCatholic,yes,yes,primary,CSU
female,21 to 24,german,germany,protestant,no,no,abitur,CSU
female,45 to 59,german,germany,romeCatholic,yes,yes,university,CSU
male,25 to 29,german,germany,noReligion,no,no,middle,CSU
male,30 to 44,german,germany,noReligion,no,no,middle,CSU
female,65 to 69,german,other,romeCatholic,no,yes,abitur,CSU
male,70 to und,german,germany,other,no,yes,primary,CSU
male,45 to 59,german,germany,romeCatholic,yes,yes,university,CSU
male,30 to 44,german,germany,romeCatholic,yes,yes,abitur,CSU
female,65 to 69,german,germany,romeCatholic,yes,yes,non,CSU
male,45 to 59,german,germany,romeCatholic,yes,yes,middle,CSU
male,45 to 59,german,germany,romeCatholic,yes,yes,middle,CSU
female,45 to 59,german,germany,noReligion,yes,yes,middle,CSU
female,30 to 44,german,germany,romeCatholic,yes,yes,primary,CSU
female,30 to 44,german,germany,romeCatholic,no,yes,middle,Greens
male,45 to 59,german,germany,noReligion,yes,no,middle,Greens
female,25 to 29,other,other,orthodox,no,no,university,Greens
female,45 to 59,german,other,protestant,yes,yes,middle,Greens
female,45 to 59,german,germany,romeCatholic,no,no,non,Greens
male,25 to 29,german,germany,noReligion,no,no,university,Greens
female,45 to 59,german,germany,romeCatholic,yes,yes,university,Greens
male,30 to 44,german,germany,protestant,no,no,university,Greens
female,45 to 59,german,germany,noReligion,yes,yes,abitur,Greens
male,45 to 59,german,germany,noReligion,yes,yes,university,Greens
female,21 to 24,german,germany,protestant,no,no,abitur,Greens
female,30 to 44,other,other,romeCatholic,yes,yes,university,Greens
female,30 to 44,german,germany,noReligion,yes,yes,abitur,Greens
male,30 to 44,other,other,protestant,yes,no,university,Greens
male,30 to 44,german,germany,romeCatholic,yes,yes,university,Greens
female,under 20,german,germany,muslim,no,no,highSchool,Greens
male,25 to 29,german,germany,romeCatholic,no,no,abitur,Greens
male,25 to 29,german,germany,romeCatholic,no,no,university,Greens
male,30 to 44,german,germany,romeCatholic,yes,no,primary,Greens
female,30 to 44,german,germany,protestant,yes,yes,abitur,Greens
male,45 to 59,german,germany,romeCatholic,yes,yes,university,Greens
male,21 to 24,german,germany,noReligion,no,no,middle,SPD
female,30 to 44,other,turkey,muslim,yes,yes,non,SPD
female,45 to 59,german,germany,protestant,yes,yes,primary,SPD
male,70 to und,german,germany,protestant,yes,yes,primary,SPD
female,21 to 24,german,germany,protestant,no,no,highSchool,SPD
female,45 to 59,german,germany,protestant,no,yes,middle,SPD
female,65 to 69,german,germany,romeCatholic,yes,yes,middle,SPD
male,30 to 44,german,germany,romeCatholic,yes,yes,primary,SPD
female,60 to 64,german,other,romeCatholic,no,yes,middle,SPD
female,21 to 24,other,other,jewish,no,no,abitur,SPD
female,45 to 59,german,germany,noReligion,yes,yes,middle,SPD
male,70 to und,german,germany,romeCatholic,yes,yes,primary,SPD
female,30 to 44,german,germany,romeCatholic,yes,yes,primary,SPD
male,45 to 59,german,russia,protestant,yes,yes,university,SPD
male,21 to 24,german,germany,romeCatholic,no,no,abitur,SPD
male,65 to 69,german,germany,romeCatholic,yes,yes,primary,SPD
male,45 to 59,german,other,romeCatholic,yes,yes,university,SPD
male,45 to 59,german,germany,noReligion,yes,no,abitur,SPD
female,25 to 29,german,germany,noReligion,no,no,abitur,SPD
female,45 to 59,german,germany,protestant,no,yes,middle,SPD
female,30 to 44,german,germany,noReligion,no,no,university,SPD
female,65 to 69,german,germany,protestant,yes,yes,middle,SPD
female,30 to 44,german,germany,protestant,yes,no,abitur,SPD
female,under 20,other,turkey,muslim,yes,yes,primary,SPD
female,45 to 59,german,germany,romeCatholic,yes,yes,university,SPD
male,45 to 59,german,germany,noReligion,yes,no,middle,SPD
female,45 to 59,german,germany,protestant,yes,no,university,SPD
male,30 to 44,german,germany,muslim,yes,yes,primary,SPD
male,65 to 69,german,germany,romeCatholic,yes,no,primary,SPD
female,45 to 59,german,germany,other,no,no,highSchool,SPD
female,30 to 44,german,germany,protestant,yes,yes,university,SPD
female,45 to 59,german,germany,romeCatholic,no,no,middle,SPD
male,45 to 59,german,germany,romeCatholic,yes,yes,middle,SPD
male,21 to 24,other,germany,muslim,no,no,middle,SPD
male,60 to 64,german,germany,protestant,yes,yes,university,SPD
